"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"243","CA","Alvord Unified","alvord unif sch dist","0602430","05503300300000","Riverside County","18170.00000"," alvord unified school district "
"244","IL","AlWood CUSD 225","alwood community unit school district 225","1703660","14503700100000","Henry County","377.00000",NA
"245","IL","Alxndr/Jcksn/Pulsk/Prry/Union ROE","alxndr/jcksn/pulsk/prry/union roe","1700190","14617001900000","Jackson County","16.00000",NA
"246","MT","Alzada Elem","alzada elem dist 56","3001950","27500600200000","Carter County","8.00000",NA
"247","CA","Amador County Office of Education","amador co spl schs oper by co supt","0691001","05100300330100","Amador County","208.00000",NA
"248","CA","Amador County Unified","amador co unif sch dist","0602450","05500300800000","Amador County","3958.00000"," amador county office of education "
"249","NY","AMAGANSETT UNION FREE SCHOOL DISTRICT","amagansett union free school district","3602880","33505250100000","Suffolk County","79.00000",NA
"250","OH","Amanda-Clearcreek Local","amanda clearcreek local sch dist","3904684","36502300100000","Fairfield County","1412.00000"," amanda-clearcreek local school district "
"251","TX","AMARILLO ISD","amarillo independent sch dist","4808130","44518800200000","Potter County","32436.00000"," amarillo independent school district "
"252","OK","AMBER-POCASSET","amber-pocasset sch dist 128","4002910","37502600300000","Grady County","496.00000"," amber-pocasset school district i-128 "
"253","IL","Amboy CUSD 272","amboy community unit school district 272","1703690","14505200100000","Lee County","718.00000",NA
"254","PA","Ambridge Area SD","ambridge area sch dist","4202440","39500400200000","Beaver County","2390.00000"," ambridge area school district "
"255","VA","AMELIA CO PBLC SCHS","amelia county school","5100180","47100400430100","Amelia County","1729.00000",NA
"256","ID","AMERICAN FALLS JOINT DISTRICT","american falls school district 381","1600060","13503900100000","Power County","1552.00000"," american falls school district no. 381 "
"257","SD","AMERICAN HORSE SCHOOL",NA,"5900070",NA,"Bennett County","258.00000",NA
"258","AS","American Samoa Department of Education",NA,"6000030",NA,"Eastern District","10448.00000",NA
"259","WI","Amery School District","amery school district","5500300","50504900600000","Polk County","1514.00000"," school district of amery "
"260","IA","Ames Comm School District","ames community school district","1903540","16508500100000","Story County","4972.00000"," ames community school district "
"261","MA","Amesbury","amesbury public schools","2501860","22200510130100","Essex County","2012.00000",NA
"262","MA","Amherst","amherst town public school","2501890","22300800130100","Hampshire County","1093.00000",NA
"263","NY","AMHERST CENTRAL SCHOOL DISTRICT","amherst central school dist","3602920","33501560100000","Erie County","3047.00000"," amherst central school district "
"264","VA","AMHERST CO PBLC SCHS","amherst county school","5100210","47100500530100","Amherst County","4115.00000",NA
"265","OH","Amherst Exempted Village","amherst ex vlg sch dist","3904519","36504700100000","Lorain County","3534.00000"," amherst exempted village school district "
"266","TX","AMHERST ISD","amherst ind sch dist 901","4808160","44514000100000","Lamb County","131.00000"," amherst independent school district "
"267","NE","AMHERST PUBLIC SCHOOLS","amherst sch dist 119","3100070","28501000100000","Buffalo County","380.00000"," amherst public schools district no. 119 "
"268","NH","Amherst School District","amherst school district","3301470","30500600100000","Hillsborough County","1309.00000",NA
"269","MA","Amherst-Pelham","amherst-pelham reg sch dist","2501920","22500850100000","Hampshire County","1346.00000",NA
"270","MS","AMITE COUNTY SCHOOL DISTRICT","amite county school district","2800420","25500350100000","Amite County","929.00000"," amite county school district "
"271","OR","Amity SD 4J","amity sch dist 4j","4101230","38503600100000","Yamhill County","832.00000"," amity school district no. 4j "
"272","NY","AMITYVILLE UNION FREE SCHOOL DISTRICT","amityville uf sch dist","3602940","33505200300000","Suffolk County","3201.00000"," amityville union free school district "
"273","MS","AMORY SCHOOL DIST","amory mun sep sch dist","2800450","25504800100000","Monroe County","1605.00000",NA
"274","AZ","Amphitheater Unified District (4406)","amphitheater school district 10","0400680","03501000200000","Pima County","13410.00000"," amphitheater unified school district no. 10 "
"275","NY","AMSTERDAM CITY SCHOOL DISTRICT","amsterdam sch dist","3602970","33502900100000","Montgomery County","3853.00000",NA
"276","MT","Amsterdam Elem","amsterdam elem dist 75","3001980","27501600100000","Gallatin County","143.00000",NA
"277","MT","Anaconda Elem","anaconda elem sch dist 10","3002010","27501240130100","Deer Lodge County","709.00000",NA
"278","MT","Anaconda H S","anaconda h s dist 10","3002030","27501240130200","Deer Lodge County","313.00000",NA
"279","WA","Anacortes School District","anacortes school district 103","5300150","48502900100000","Skagit County","2795.00000"," anacortes school district no. 103 "
"280","OK","ANADARKO","anadarko sch dist 20","4003000","37500800300000","Caddo County","1600.00000"," anadarko public schools i-20 "
"281","OK","ANADARKO","anadarko sch dist 20","4003000","37500800300000","Caddo County","1600.00000"," anadarko school district no. i-20 "
"282","CA","Anaheim Elementary","anaheim elem sch dist","0602610","05503000200000","Orange County","16374.00000"," anaheim elementary school district "
"283","CA","Anaheim Elementary","anaheim elem sch dist","0602610","05503000200000","Orange County","16374.00000"," anaheim union high school district "
"284","CA","Anaheim Union High","anaheim union high school dist","0602630","05503000300000","Orange County","29832.00000"," anaheim elementary school district "
"285","CA","Anaheim Union High","anaheim union high school dist","0602630","05503000300000","Orange County","29832.00000"," anaheim union high school district "
"286","TX","ANAHUAC ISD","anahuac ind sch dist 901","4808190","44503600100000","Chambers County","1343.00000"," anahuac independent school district "
"287","ND","ANAMOOSE 14","anamoose sch dist 14","3801950","35502500100000","McHenry County","81.00000",NA
"288","IA","Anamosa Comm School District","anamosa community school district","1903570","16505300100000","Jones County","1264.00000"," anamosa community school district "
"289","MI","Anchor Bay School District","anchor bay school dist","2602790","23505000200000","St. Clair County","5816.00000"," anchor bay school district "
"290","KY","Anchorage Independent","anchorage ind sch dist","2100090","18505600100000","Jefferson County","393.00000",NA
"291","AK","Anchorage School District","anchorage school district","0200180","02200200130100","Anchorage Municipality","46143.00000"," anchorage school district "
"292","AL","Andalusia City","andalusia city school district","0100060","01502000100000","Covington County","1839.00000"," andalusia city board of education "
"293","OK","ANDERSON","anderson sch dist 52","4003010","37505780100000","Osage County","353.00000"," anderson school district c-52 "
"294","SC","Anderson 01","anderson co sch dist 1","4500780","41500400300000","Anderson County","10245.00000",NA
"295","SC","Anderson 02","anderson co sch dist 2","4500810","41500400200000","Anderson County","3686.00000",NA
"296","SC","Anderson 03","anderson co sch dist 3","4500840","41500400500000","Anderson County","2615.00000"," anderson county school district 3 "
"297","SC","Anderson 04","anderson co sch dist 4","4500870","41500400400000","Anderson County","2860.00000"," anderson county school district 4 "
"298","SC","Anderson 05","anderson co sch dist 5","4500900","41500400100000","Anderson County","13145.00000",NA
"299","IN","Anderson Community School Corp","anderson community school corporation","1800150","15504800300000","Madison County","6811.00000"," anderson community school corporation "
"300","KY","Anderson County","anderson co sch dist","2100120","18500300100000","Anderson County","3808.00000"," anderson county board of education "
"301","TN","Anderson County","anderson co sch dist","4700090","43100100130100","Anderson County","6436.00000",NA
"302","MT","Anderson Elem","anderson elem dist 41","3002070","27501600300000","Gallatin County","197.00000",NA
"303","CA","Anderson Union High","anderson union high school dist","0602700","05504500100000","Shasta County","1668.00000"," anderson union high school district "
"304","CA","Anderson Valley Unified","anderson valley unified sch dist","0602730","05502300200000","Mendocino County","449.00000"," anderson valley unified school district "
"305","TX","ANDERSON-SHIRO CISD","anderson-shiro cons sch dist 901","4808230","44509300100000","Grimes County","888.00000"," anderson-shiro consolidated independent school district "
"306","NY","ANDES CENTRAL SCHOOL DISTRICT","andes central sch dist","3603000","33501300100000","Delaware County","73.00000",NA
"307","SD","Andes Central School District 11-1","andes central school district 11-1","4639540","42501205000000","Charles Mix County","346.00000"," andes central school district no. 11-1 "
"308","KS","Andover","andover unified school district 385","2003360","17500800100000","Butler County","9185.00000"," andover unified school district no. 385 "
"309","MA","Andover","andover town schs","2501950","22300500230100","Essex County","5856.00000",NA
"310","NY","ANDOVER CENTRAL SCHOOL DISTRICT","andover central sch dist","3603030","33500200400000","Allegany County","303.00000",NA
"311","ME","Andover Public Schools","andover public schools","2314823","20300900110100","Oxford County","39.00000",NA
"312","NJ","Andover Regional School District","andover reg sch dist","3400900","31501900100000","Sussex County","452.00000",NA
"313","CT","Andover School District","andover town schools","0900030","07300700130100","Tolland County","195.00000",NA
