acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Banning Unified School District,145916,2020,160039981,81107832,11108643,0,0,0,57722411,0,9663936,0,437159,43872,14709573,3049444,58536245,-1410611,77749745,0,0,0,76339134,banning unified,2.0964343268552144,1 - 5%,California,0603840,Banning Unified,Riverside County,4583
Loveland City School District,37108,2020,85578462,8350863,6312606,484295,0,0,63311690,0,6077014,0,1041994,2027725,4821387,0,48256592,-10336069,65441773,0,0,0,55105704,loveland city,1.5529873640667036,1 - 5%,Ohio,3904427,Loveland City,Hamilton County,4583
Corning City School District,36392,2020,513507943,83680486,8313182,0,0,34648000,7386431,6100082,370266844,0,9213000,1107948,5032608,1530928,111697712,-10682424,130051620,0,0,0,119369196,corning city,4.3018463741684245,1 - 5%,New York,3608400,CORNING CITY SCHOOL DISTRICT,Steuben County,4578
Lebanon R-III School District,44283,2020,0,36145000,0,568310,0,0,0,0,0,0,0,2526938,8576848,0,46330421,2133159,55301048,0,0,0,57434207,lebanon r-iii,0, Below 1%,Missouri,2918270,LEBANON R-III,Laclede County,4575
Elgin Independent School District,38804,2020,84633592,43500086,4249641,1298216,2938245,0,14543903,0,17186537,0,0,1063886,13018899,0,52126622,5185564,61023843,0,0,0,66209407,elgin,1.2782714093784286,1 - 5%,Texas,4818360,ELGIN ISD,Bastrop County,4573
Pine Tree Independent School District,38967,2020,89949061,52929614,5843245,0,0,2098453,12613717,0,16464032,0,0,968002,8956667,488656,46890338,1574914,55728749,0,0,0,57303663,pine tree,1.5696912953016633,1 - 5%,Texas,4834980,PINE TREE ISD,Gregg County,4566
Pine-Richland School District,47391,2020,253213306,104791960,13034439,0,3050557,7018118,113074000,0,5256744,0,1321558,1190382,13034609,1127173,77741066,4420101,88673129,0,0,0,93093230,pine-richland,2.7199969965592556,1 - 5%,Pennsylvania,4202850,Pine-Richland SD,Allegheny County,4562
Asheboro City Board of Education,36638,2020,76126175,0,1305042,0,0,0,19673374,0,52418497,72522,2729262,1592906,35627942,0,26693554,13129433,50784969,0,0,0,63914402,asheboro city,1.1910644959175243,1 - 5%,North Carolina,3700240,Asheboro City Schools,Randolph County,4558
Perry Local School District,37260,2020,36512620,0,2522814,54686,0,0,28113915,0,3202044,1542268,2619161,766688,1679305,15500,25379890,-497100,28338483,0,0,0,27841383,perry local,1.3114513743803604,1 - 5%,Ohio,3904992,Perry Local,Stark County,4557
Baldwin-Whitehall School District,37829,2020,169091966,46597506,0,489709,0,6267444,100208000,0,6523574,0,1280091,981023,14438250,1157804,58532950,4204116,70905911,0,0,0,75110027,baldwin-whitehall,2.251256892771454,1 - 5%,Pennsylvania,4202970,Baldwin-Whitehall SD,Allegheny County,4556
Oregon Trail School District 46,90804,2020,166825123,4870805,4108594,5937,0,0,46430832,0,3254646,0,230266,1529498,4903640,2531,55038317,-2227456,63701442,0,0,0,61473986,oregon trail,2.7137515208465577,1 - 5%,Oregon,4110890,Oregon Trail SD 46,Clackamas County,4551
Van Buren Public Schools,34686,2020,198585922,66855000,8905804,0,0,0,100484867,0,21702332,0,637919,1386866,15860993,0,45320017,-5324044,67891920,0,0,0,62567876,van buren,3.173927815609403,1 - 5%,Michigan,2634560,Van Buren Public Schools,Wayne County,4548
West Genesee Central School District,36302,2020,94911768,27919357,4362802,785000,0,12041440,7673427,5797001,31059503,0,11070239,1687987,4846046,4178,87340240,-5616982,99495433,0,0,0,93878451,west genesee central,1.0110069668703843,1 - 5%,New York,3630630,WEST GENESEE CENTRAL SCHOOL DISTRICT,Onondaga County,4544
Charter Oak Unified School District,146013,2020,147373447,59616697,7945249,1589155,0,0,56730744,0,19797079,0,369523,1291270,13154152,0,52984908,-5365389,72795719,0,0,0,67430330,charter oak unified,2.185566153984416,1 - 5%,California,0608190,Charter Oak Unified,Los Angeles County,4540
School District of Superior,39968,2020,109385970,97891951,3941087,0,0,17432,0,6686885,7045381,0,490119,1088064,9160224,280022,58626465,5559113,63595662,0,0,0,69154775,superior,1.581755851277081,1 - 5%,Wisconsin,5514670,Superior School District,Douglas County,4538
Macon County Board of Education,36602,2020,69742648,0,1599462,0,0,0,17390570,0,47527815,64117,2914011,778759,36921542,251760,14268705,2082,52218684,0,0,235256,52220766,macon,1.335534756422378,1 - 5%,North Carolina,3702760,Macon County Schools,Macon County,4529
Santa Fe Independent School District,38953,2020,139231038,89350558,15634534,0,1172757,0,15009641,0,17914906,0,148642,2136498,9215671,2430554,47757324,-2631973,64172020,0,0,0,61540047,santa fe,2.2624460784048477,1 - 5%,Texas,4839270,SANTA FE ISD,Galveston County,4528
Oak Park Unified School District,146447,2020,136862346,80618645,6325231,224710,0,0,49095517,0,0,0,508243,0,3899698,32,50742462,-6128065,60770257,0,0,0,54642192,oak park unified,2.5047008729078803,1 - 5%,California,0627850,Oak Park Unified,Ventura County,4527
Mayfield City School District,42650,2020,162061320,6480000,12475445,0,100002,0,84524416,0,8591596,4785299,4351087,9187439,9406592,458192,72949005,573883,91427345,0,0,0,92001228,mayfield city,1.761512574593026,1 - 5%,Ohio,3904437,Mayfield City,Cuyahoga County,4524
Athens City Board of Education,66515,2020,60158907,2730116,3218500,4133864,0,0,35837000,0,13998365,0,241062,3134366,30372813,1361399,23475648,5652999,52691227,0,0,0,58344226,athens city,1.03110300923351,1 - 5%,Alabama,0100120,Athens City,Limestone County,4505
Marion City School District,42543,2020,0,3290000,0,0,0,1311803,62919808,0,2042549,0,0,2961497,14189927,0,53063247,1109962,69104709,0,0,0,70214671,marion city,0, Below 1%,Ohio,3904433,Marion City,Marion County,4504
North Hills School District,37853,2020,205225981,52549803,12934820,1231433,0,1603080,122804000,0,11296769,0,2806076,994904,13918481,631268,69948655,-1008548,86501856,0,0,0,85493308,north hills,2.4004917554482743,1 - 5%,Pennsylvania,4217220,North Hills SD,Allegheny County,4501
Evesham Township School District,168044,2020,33886254,2089121,3091451,1464156,0,0,24749888,0,460804,0,2025186,3357596,18864473,0,76868504,-634572,99725145,0,0,0,99090573,evesham township,0.34197253052517923, Below 1%,New Jersey,3404890,Evesham Township School District,Burlington County,4498
Oxford School District,35034,2020,154205121,68636765,3879263,10901985,0,945000,65630727,0,3863485,0,347896,1329692,6627964,0,55225551,6835196,56348011,0,0,0,63183207,oxford,2.4406029437537096,1 - 5%,Mississippi,2803450,OXFORD SCHOOL DISTRICT,Lafayette County,4492
Jackson County Board of Education,39790,2020,10450026,0,4500156,1270426,0,0,2505767,0,2173677,0,0,2871945,4194003,1694962,49713665,5096870,53377705,0,0,0,58474575,jackson,0.1787105934502303, Below 1%,West Virginia,5400540,JACKSON COUNTY SCHOOLS,Jackson County,4489
Florence City Board of Education,30357,2020,115064195,1651759,6298101,413520,0,0,41199000,0,15670040,0,0,3063406,33095207,1088339,26402777,7819365,55830364,0,0,0,63649729,florence city,1.8077719545357374,1 - 5%,Alabama,0101530,Florence City,Lauderdale County,4484
North Ridgeville City School District,37156,2020,123351253,60614563,6525513,994447,0,2370000,47297703,0,4946953,2681406,602074,2136488,2734005,0,48774888,-5260704,58906085,0,0,0,53645381,north ridgeville city,2.299382550754929,1 - 5%,Ohio,3904453,North Ridgeville City,Lorain County,4477
Cuyahoga Falls City School District,37267,2020,72915320,0,6721198,344229,0,0,58352142,0,4914653,3456790,2583098,6772141,7263655,1998793,52133502,6554111,61613980,0,0,0,68168091,cuyahoga falls city,1.0696400461030953,1 - 5%,Ohio,3904383,Cuyahoga Falls City,Summit County,4476
Mechanicsburg Area School District,37956,2020,224313225,101654039,13967265,0,0,0,100302000,0,7795000,0,594921,2462096,12384908,947087,59825464,-1741370,77360925,723972,2906340,0,75619555,mechanicsburg area,2.9663388656545253,1 - 5%,Pennsylvania,4215030,Mechanicsburg Area SD,Cumberland County,4468
Delaware Valley School District,38122,2020,196556689,28350000,12579126,0,0,0,130290000,0,22537656,0,2799907,508631,18566501,0,66870811,-3716187,89662130,0,0,0,85945943,delaware valley,2.286980422100901,1 - 5%,Pennsylvania,4207530,Delaware Valley SD,Pike County,4461
Marshall County Board of Education,41104,2020,20457979,0,7197614,1142856,0,0,6688482,0,4522715,0,906312,14610,9265201,0,74098598,7329686,76048723,0,0,0,83378409,marshall,0.24536302917461522, Below 1%,West Virginia,5400750,MARSHALL COUNTY SCHOOLS,Marshall County,4460
Victor Central School District,36318,2020,121549609,38113529,4945459,0,0,2536196,6200188,4326721,64095506,0,2011050,761912,2766126,0,73688659,-3908257,81124954,0,0,0,77216697,victor central,1.5741363425581387,1 - 5%,New York,3629640,VICTOR CENTRAL SCHOOL DISTRICT,Ontario County,4448
Avon Local School District,51164,2020,135854493,57524273,6044552,619995,0,17500000,46129845,0,4391560,2691837,3644268,2556602,3819359,177970,49750572,266607,56037896,0,0,0,56304503,avon local,2.4128530714497205,1 - 5%,Ohio,3904811,Avon Local,Lorain County,4443
Poughkeepsie City School District,36166,2020,434975623,25112005,5825244,0,0,0,5701326,6368194,392525902,0,1525019,118102,11717593,0,102657639,25114920,89378414,0,0,0,114493334,poughkeepsie city,3.7991349173219113,1 - 5%,New York,3623760,POUGHKEEPSIE CITY SCHOOL DISTRICT,Dutchess County,4443
Hilton Central School District,36233,2020,126978345,47021803,8157700,0,0,0,7766310,0,62857930,0,1174602,925375,3082307,395850,81296010,-6364314,92063856,0,0,0,85699542,hilton central,1.4816688868652297,1 - 5%,New York,3614460,HILTON CENTRAL SCHOOL DISTRICT,Monroe County,4442
Great Valley School District,37930,2020,194760878,16575211,15549843,0,0,630000,141190000,0,18698382,0,2117442,1912178,14184228,506957,92716579,8466907,100853035,0,0,0,109319942,great valley,1.781567703356447,1 - 5%,Pennsylvania,4210870,Great Valley SD,Chester County,4428
Southwest Licking Local School District,37144,2020,0,81737273,0,0,0,1542490,45492707,0,4562943,2606723,0,1667152,2600990,0,76286881,-6886719,87441742,0,0,0,80555023,southwest licking local,0, Below 1%,Ohio,3904804,Southwest Licking Local,Licking County,4423
Sumter County Board of Education,105359,2020,110230003,26855431,11201486,0,0,633280,38642724,0,32897082,0,0,306046,34485393,2771039,18478019,3552667,52487830,0,0,0,56040497,sumter,1.9669704749406487,1 - 5%,Georgia,1304620,Sumter County,Sumter County,4416
Waynesboro Area School District,37998,2020,137834508,39581831,9327246,124377,0,0,81086033,0,7440179,0,274842,3431262,14739453,1725409,44279644,-4971058,69146826,0,0,0,64175768,waynesboro area,2.1477656177016846,1 - 5%,Pennsylvania,4225110,Waynesboro Area SD,Franklin County,4407
Sulphur Springs Independent School District,42295,2020,86968099,46047471,3115447,695653,6439739,0,13133070,0,17442277,0,0,1627317,10518619,0,40087148,-4753127,56986211,0,0,0,52233084,sulphur springs,1.665000270709652,1 - 5%,Texas,4841820,SULPHUR SPRINGS ISD,Hopkins County,4396
Pleasant Valley School District,38085,2020,195377794,10587950,14410431,0,0,0,140058275,0,26336314,0,1318716,688429,22255579,0,79228057,1023185,101148880,484588,999554,0,102172065,pleasant valley,1.912242783778521,1 - 5%,Pennsylvania,4219290,Pleasant Valley SD,Monroe County,4393
Vidor Independent School District,39131,2020,47469905,13560978,4327325,0,0,0,11729722,0,17128168,0,723712,497128,5873325,0,49033110,-6754280,62157843,0,0,0,55403563,vidor,0.8568023865179935, Below 1%,Texas,4844160,VIDOR ISD,Orange County,4391
Whitehall-Coplay School District,38054,2020,199078286,71691915,11699778,0,0,0,103390000,0,9967267,0,1622654,756636,14350658,0,59138621,-2746661,76992576,472978,1199657,0,74245915,whitehall-coplay,2.681336555687946,1 - 5%,Pennsylvania,4226250,Whitehall-Coplay SD,Lehigh County,4386
Preston County Board of Education,39805,2020,27786605,19766047,4790536,518818,0,0,1259122,0,1452082,0,0,2130599,6120278,0,44417800,6986041,45682636,0,0,0,52668677,preston,0.5275736278699387, Below 1%,West Virginia,5401170,PRESTON COUNTY SCHOOLS,Preston County,4384
Waunakee Community School District,39960,2020,83835241,68740115,2471127,45568,0,5000000,0,5816148,4613712,0,2964719,4417000,7555153,0,55469859,4444115,62997897,0,0,0,67442012,waunakee community,1.2430714700504486,1 - 5%,Wisconsin,5515810,Waunakee Community School District,Dane County,4375
Whitley County School District,33749,2020,59245654,24794660,1384341,1109439,0,0,17325905,0,13279420,0,968127,598221,24664083,0,28735999,964810,53033493,0,0,0,53998303,whitley,1.0971762205193745,1 - 5%,Kentucky,2105880,Whitley County,Whitley County,4373
Bethlehem Central School District,36096,2020,423270971,33538673,8478709,3667327,0,31324421,13164687,5048738,328541154,0,3406000,1051272,2153155,957258,100676004,-18679296,123516985,0,0,0,104837689,bethlehem central,4.037393184048534,1 - 5%,New York,3604710,BETHLEHEM CENTRAL SCHOOL DISTRICT,Albany County,4368
Mountain Brook City Board of Education,30353,2020,91255346,0,6574064,7417,0,0,58034000,0,19290992,0,0,4480579,24787154,996265,37721167,625256,67359909,0,0,0,67985165,mountain brook city,1.3422832172283468,1 - 5%,Alabama,0102490,Mountain Brook City,Jefferson County,4367
Pearl Public School District,43059,2020,85828140,23438255,2499005,0,0,1100000,54901556,0,3561142,0,328182,3021062,6136891,0,32578123,1904014,39832062,0,0,0,41736076,pearl public,2.056449676773638,1 - 5%,Mississippi,2803520,PEARL PUBLIC SCHOOL DISTRICT,Rankin County,4366
Lovejoy Independent School District,53926,2020,210809840,167587245,6579674,0,3972009,0,15409080,0,17261832,0,0,3778134,7869392,369000,51827624,81823,63762327,0,0,0,63844150,lovejoy,3.3019445007882475,1 - 5%,Texas,4828380,LOVEJOY ISD,Collin County,4365
Marion County School District,38357,2020,103927510,1025000,6648247,0,0,0,53363420,0,42890843,0,0,285511,33852875,163101,15408687,-4329922,54040096,0,0,0,49710174,marion,2.0906688035330556,1 - 5%,South Carolina,4503908,Marion 10,Marion County,4364
Valley View Independent School District,43711,2020,21312893,11526104,1185436,480244,0,3385000,1893799,0,2842310,0,0,233219,4027626,0,11230477,1698202,13793120,0,0,0,15491322,valley view,1.3757956228654986,1 - 5%,Texas,4843800,VALLEY VIEW ISD,Hidalgo County,4364
School District of New Berlin,40096,2020,61092920,41445560,5104770,153088,0,0,52495,5579180,14337007,0,0,2120740,2907407,0,58812962,4664160,59176949,0,0,0,63841109,new berlin,0.956952674490664, Below 1%,Wisconsin,5510470,New Berlin School District,Waukesha County,4362
Person County Board of Education,42822,2020,76450942,0,1898828,0,0,0,19435971,0,52738082,71797,2330852,728947,37620818,235990,12139196,-510056,51235007,0,0,0,50724951,person,1.5071664041627166,1 - 5%,North Carolina,3703630,Person County Schools,Person County,4362
Knox County School District,33688,2020,68537227,34226918,1788588,880868,0,0,17953464,0,13060467,0,588451,80521,24232775,1686457,30944179,-1024319,57968251,0,0,0,56943932,knox,1.2035914028557073,1 - 5%,Kentucky,2103150,Knox County,Knox County,4360
Andrews Independent School District,38788,2020,71316763,25698462,18668067,0,0,0,11406086,0,14706912,0,837237,1621525,6908439,0,59545515,1979785,66095694,0,0,0,68075479,andrews,1.04761309134527,1 - 5%,Texas,4808280,ANDREWS ISD,Andrews County,4359
Marble Falls Independent School District,38848,2020,157400409,110324507,11497472,0,0,0,12653505,0,16854903,0,0,1073132,8617355,0,56713186,2096761,64306912,0,0,0,66403673,marble falls,2.370356968055065,1 - 5%,Texas,4829010,MARBLE FALLS ISD,Burnet County,4354
Carter County School District,33641,2020,62683591,30990087,775380,10170,0,0,16746593,0,12255432,0,1681242,136714,8268453,3264349,37357902,-981231,50008649,0,0,0,49027418,carter,1.278541549954762,1 - 5%,Kentucky,2101020,Carter County,Carter County,4342
Jefferson Union High School District,146238,2020,401381507,303713908,11710927,0,0,0,53396118,0,25110332,0,693145,757718,9526119,0,77434206,-3560964,91279007,0,0,0,87718043,jefferson union high,4.575814658792605,1 - 5%,California,0618930,Jefferson Union High,San Mateo County,4342
Shasta Union High School District,146647,2020,162428850,59278978,6466753,186568,0,8731722,62967530,0,11698528,0,651958,1003980,9731100,0,60117439,-5612727,76465246,0,0,0,70852519,shasta union high,2.2924922401135803,1 - 5%,California,0636600,Shasta Union High,Shasta County,4339
Imperial Unified School District,146229,2020,113635209,52298363,5367209,0,0,0,49514737,0,6191817,0,263083,1747035,5656597,0,46639821,351403,53692050,0,0,0,54043453,imperial unified,2.1026637398613297,1 - 5%,California,0618210,Imperial Unified,Imperial County,4337
South Panola School District,35063,2020,77456379,0,2608147,0,0,7010000,60292089,0,4319550,0,531593,893242,8252683,0,34451505,-2181103,45778533,0,0,0,43597430,south panola,1.7766271773359117,1 - 5%,Mississippi,2804050,SOUTH PANOLA SCHOOL DISTRICT,Panola County,4337
Pickens County Board of Education,196528,2020,87284221,0,6631167,0,0,0,44642775,0,36010279,0,0,847056,29780019,879358,30851722,4124238,58233917,0,0,0,62358155,pickens,1.3997242381529729,1 - 5%,Georgia,1304110,Pickens County,Pickens County,4333
Concord School District,35587,2020,151200638,56617924,2739346,0,0,0,63147686,0,24920390,0,3775292,729822,7281110,932753,81475414,-81153,90500252,0,0,0,90419099,concord,1.6722201357038518,1 - 5%,New Hampshire,3302460,Concord School District,Merrimack County,4327
Southeast Delco School District,37967,2020,177248659,47600588,11799333,246433,0,0,108395000,0,8380470,0,826835,589077,23069626,1646129,63248081,2629023,85923890,0,0,0,88552913,southeast delco,2.001612967830883,1 - 5%,Pennsylvania,4222400,Southeast Delco SD,Delaware County,4326
